join_key,smp_id,Lat_Site.x,Long_Site.x,Top_depth_cm.x,Bottom_depth_cm.x,scan_path_name,SOC,Bulk.Density_1_3.BAR,Bulk.Density_ovendry,Calcium_Carbonate_equivalent,Carbon_Total,CEC,Clay,Nitrogen_Total,pH,Phosphorus_Mehlich3,Phosphorus_Olsen,Potassium,Sand,Silt
101031XS01,101031,37.949604,-98.2828293,0,19,101031XS01.0,2.2768,0.97009265,1.1944038299999999,14.355599,4.0017784000000001,11.5396475,21.5099222,0.23915414099999999,7.8,1.3680428,NA,NA,53.6,24.9
101031XS02,101031,37.949604,-98.2828293,0,19,101031XS02.0,2.2768,0.97009265,1.1944038299999999,14.355599,4.0017784000000001,11.5396475,21.5099222,0.23915414099999999,7.8,1.3680428,NA,NA,53.6,24.9
101031XS03,101031,37.949604,-98.2828293,0,19,101031XS03.0,2.2768,0.97009265,1.1944038299999999,14.355599,4.0017784000000001,11.5396475,21.5099222,0.23915414099999999,7.8,1.3680428,NA,NA,53.6,24.9
101031XS04,101031,37.949604,-98.2828293,0,19,101031XS04.0,2.2768,0.97009265,1.1944038299999999,14.355599,4.0017784000000001,11.5396475,21.5099222,0.23915414099999999,7.8,1.3680428,NA,NA,53.6,24.9
101032XS01,101032,37.949604,-98.2828293,19,32,101032XS01.0,1.3704,1.32976272,1.45892624,11.829592999999999,2.78928989,9.4320798,19.342682,0.12637232200000001,7.8,0.80878289999999997,NA,NA,56.5,24.2
101032XS02,101032,37.949604,-98.2828293,19,32,101032XS02.0,1.3704,1.32976272,1.45892624,11.829592999999999,2.78928989,9.4320798,19.342682,0.12637232200000001,7.8,0.80878289999999997,NA,NA,56.5,24.2
101032XS03,101032,37.949604,-98.2828293,19,32,101032XS03.0,1.3704,1.32976272,1.45892624,11.829592999999999,2.78928989,9.4320798,19.342682,0.12637232200000001,7.8,0.80878289999999997,NA,NA,56.5,24.2
101032XS04,101032,37.949604,-98.2828293,19,32,101032XS04.0,1.3704,1.32976272,1.45892624,11.829592999999999,2.78928989,9.4320798,19.342682,0.12637232200000001,7.8,0.80878289999999997,NA,NA,56.5,24.2
101033XS01,101033,37.949604,-98.2828293,32,47,101033XS01.0,1.0936,1.32099828,1.46104262,8.4679230000000008,2.1081729500000002,10.3935206,18.2357028,0.109200325,8.04,0.80889129999999998,NA,NA,53.1,28.7
101033XS02,101033,37.949604,-98.2828293,32,47,101033XS02.0,1.0936,1.32099828,1.46104262,8.4679230000000008,2.1081729500000002,10.3935206,18.2357028,0.109200325,8.04,0.80889129999999998,NA,NA,53.1,28.7
101033XS03,101033,37.949604,-98.2828293,32,47,101033XS03.0,1.0936,1.32099828,1.46104262,8.4679230000000008,2.1081729500000002,10.3935206,18.2357028,0.109200325,8.04,0.80889129999999998,NA,NA,53.1,28.7
101033XS04,101033,37.949604,-98.2828293,32,47,101033XS04.0,1.0936,1.32099828,1.46104262,8.4679230000000008,2.1081729500000002,10.3935206,18.2357028,0.109200325,8.04,0.80889129999999998,NA,NA,53.1,28.7
101034XS01,101034,37.949604,-98.2828293,47,58,101034XS01.0,0.6632,1.4676550900000001,1.5892676800000001,0.89166999999999996,0.77133417000000004,11.6685078,14.1596064,0.102103212,8.1,0.8997214,NA,NA,57.7,28.1
101034XS02,101034,37.949604,-98.2828293,47,58,101034XS02.0,0.6632,1.4676550900000001,1.5892676800000001,0.89166999999999996,0.77133417000000004,11.6685078,14.1596064,0.102103212,8.1,0.8997214,NA,NA,57.7,28.1
101034XS03,101034,37.949604,-98.2828293,47,58,101034XS03.0,0.6632,1.4676550900000001,1.5892676800000001,0.89166999999999996,0.77133417000000004,11.6685078,14.1596064,0.102103212,8.1,0.8997214,NA,NA,57.7,28.1
101034XS04,101034,37.949604,-98.2828293,47,58,101034XS04.0,0.6632,1.4676550900000001,1.5892676800000001,0.89166999999999996,0.77133417000000004,11.6685078,14.1596064,0.102103212,8.1,0.8997214,NA,NA,57.7,28.1
101035XS01,101035,37.949604,-98.2828293,58,82,101035XS01.0,0.2596,1.5466200000000001,1.67700827,NA,0.28468363000000002,9.1508296,13.3150585,5.4513886999999997E-2,7.76,2.1502699999999999,NA,NA,59.6,27.1
101035XS02,101035,37.949604,-98.2828293,58,82,101035XS02.0,0.2596,1.5466200000000001,1.67700827,NA,0.28468363000000002,9.1508296,13.3150585,5.4513886999999997E-2,7.76,2.1502699999999999,NA,NA,59.6,27.1
101035XS03,101035,37.949604,-98.2828293,58,82,101035XS03.0,0.2596,1.5466200000000001,1.67700827,NA,0.28468363000000002,9.1508296,13.3150585,5.4513886999999997E-2,7.76,2.1502699999999999,NA,NA,59.6,27.1
101035XS04,101035,37.949604,-98.2828293,58,82,101035XS04.0,0.2596,1.5466200000000001,1.67700827,NA,0.28468363000000002,9.1508296,13.3150585,5.4513886999999997E-2,7.76,2.1502699999999999,NA,NA,59.6,27.1
101036XS01,101036,37.949604,-98.2828293,82,99,101036XS01.0,0.3132,1.6073201699999999,1.68774449,NA,0.32529018999999998,7.8539557,10.036938,4.0283615000000002E-2,7.48,6.0727549999999999,NA,NA,66,24
101036XS02,101036,37.949604,-98.2828293,82,99,101036XS02.0,0.3132,1.6073201699999999,1.68774449,NA,0.32529018999999998,7.8539557,10.036938,4.0283615000000002E-2,7.48,6.0727549999999999,NA,NA,66,24
101036XS03,101036,37.949604,-98.2828293,82,99,101036XS03.0,0.3132,1.6073201699999999,1.68774449,NA,0.32529018999999998,7.8539557,10.036938,4.0283615000000002E-2,7.48,6.0727549999999999,NA,NA,66,24
101036XS04,101036,37.949604,-98.2828293,82,99,101036XS04.0,0.3132,1.6073201699999999,1.68774449,NA,0.32529018999999998,7.8539557,10.036938,4.0283615000000002E-2,7.48,6.0727549999999999,NA,NA,66,24
101037XS01,101037,37.949604,-98.2828293,99,145,101037XS01.0,0.2796,1.6006199699999999,1.6986812899999999,NA,0.29524136000000001,9.3936418,11.2622141,NA,7.83,3.0229490999999999,NA,NA,65.1,23.6
101037XS02,101037,37.949604,-98.2828293,99,145,101037XS02.0,0.2796,1.6006199699999999,1.6986812899999999,NA,0.29524136000000001,9.3936418,11.2622141,NA,7.83,3.0229490999999999,NA,NA,65.1,23.6
101037XS03,101037,37.949604,-98.2828293,99,145,101037XS03.0,0.2796,1.6006199699999999,1.6986812899999999,NA,0.29524136000000001,9.3936418,11.2622141,NA,7.83,3.0229490999999999,NA,NA,65.1,23.6
101037XS04,101037,37.949604,-98.2828293,99,145,101037XS04.0,0.2796,1.6006199699999999,1.6986812899999999,NA,0.29524136000000001,9.3936418,11.2622141,NA,7.83,3.0229490999999999,NA,NA,65.1,23.6
101038XS01,101038,37.949604,-98.2828293,145,174,101038XS01.0,0.1984,NA,NA,NA,0.22488546000000001,8.2466112,13.1103062,NA,7.23,0.68574939999999995,NA,NA,63.4,23.5
101038XS02,101038,37.949604,-98.2828293,145,174,101038XS02.0,0.1984,NA,NA,NA,0.22488546000000001,8.2466112,13.1103062,NA,7.23,0.68574939999999995,NA,NA,63.4,23.5
101038XS03,101038,37.949604,-98.2828293,145,174,101038XS03.0,0.1984,NA,NA,NA,0.22488546000000001,8.2466112,13.1103062,NA,7.23,0.68574939999999995,NA,NA,63.4,23.5
101038XS04,101038,37.949604,-98.2828293,145,174,101038XS04.0,0.1984,NA,NA,NA,0.22488546000000001,8.2466112,13.1103062,NA,7.23,0.68574939999999995,NA,NA,63.4,23.5
101039XS01,101039,37.949604,-98.2828293,174,207,101039XS01.0,0.0796,NA,NA,NA,9.5547170000000001E-2,5.6946944,9.0254999,3.1178550999999999E-2,8.05,4.0129811999999996,NA,NA,76.5,14.5
101039XS02,101039,37.949604,-98.2828293,174,207,101039XS02.0,0.0796,NA,NA,NA,9.5547170000000001E-2,5.6946944,9.0254999,3.1178550999999999E-2,8.05,4.0129811999999996,NA,NA,76.5,14.5
101039XS03,101039,37.949604,-98.2828293,174,207,101039XS03.0,0.0796,NA,NA,NA,9.5547170000000001E-2,5.6946944,9.0254999,3.1178550999999999E-2,8.05,4.0129811999999996,NA,NA,76.5,14.5
101039XS04,101039,37.949604,-98.2828293,174,207,101039XS04.0,0.0796,NA,NA,NA,9.5547170000000001E-2,5.6946944,9.0254999,3.1178550999999999E-2,8.05,4.0129811999999996,NA,NA,76.5,14.5
