rowID,profID,horID,lon,lat,top,bottom,soc,bulk.density_1_3.bar,bulk.density_ovendry,calcium_carbonate_equivalent,carbon_total,cec,clay,nitrogen_total,ph,phosphorus_mehlich3,phosphorus_olsen,potassium,sand,silt
257,PROF0003,105890,-101.9787342,39.069884,0,12,2.4428,1.28675073,1.42480215,2.812883,2.78294815,22.2745284,23.9304537,0.280058144,7.91,NA,6.6458686,1.550366,18.1,58
261,PROF0003,105891,-101.9787342,39.069884,12,26,1.5744,1.30175847,1.40428747,3.382309,1.98054005,18.7160804,20.4629672,0.200221349,8.13,NA,1.9305032,1.2136563,23.6,55.9
265,PROF0003,105892,-101.9787342,39.069884,26,43,1.1592,1.33168711,1.3932773,4.090328,1.65147803,14.3381376,15.7211355,0.175187806,8.19,NA,3.2242211,1.118269,41.1,43.2
269,PROF0003,105893,-101.9787342,39.069884,43,65,0.5968,1.39700094,1.46859262,7.861998,1.5388704,13.440374,18.0134009,0.062539037,8.55,NA,NA,1.4046655,37.6,44.4
273,PROF0003,105894,-101.9787342,39.069884,65,92,0.6496,1.18704119,1.29030636,15.165409,2.47061909,16.0613232,22.4567614,0.064064569,8.92,NA,NA,1.2823558,29.7,47.8
277,PROF0003,105895,-101.9787342,39.069884,92,120,0.464,1.20071477,1.31303478,10.303441,1.7017388,16.3215865,19.4792132,0.046439203,8.67,NA,NA,0.5930686,28.2,52.3
281,PROF0003,105896,-101.9787342,39.069884,120,135,0.074,NA,NA,0.549508,0.14202204,4.0011559,4.1773211,NA,8.6,NA,NA,NA,87.5,8.3
285,PROF0003,105897,-101.9787342,39.069884,135,171,0.194,NA,NA,5.299389,0.8274709,12.7582129,15.9261219,0.0707503,8.4,NA,NA,0.4783477,38,46.1
6505,PROF0004,293110,-101.78322,38.46796,0,13,1.62,NA,NA,NA,1.6201832,17.4466021,21.7089387,0.16511422,4.7,204.527546,NA,2.6347593,14.9,63.4
6509,PROF0004,293111,-101.78322,38.46796,13,25,1.352,1.28597635,1.38060836,NA,1.36624093,18.347788,22.8316904,0.14490434,6.12,91.3814704,NA,1.8657396,19.3,57.9
6513,PROF0004,293112,-101.78322,38.46796,25,49,0.872,1.30522841,1.42364793,NA,0.8948698899999998,20.607601,25.4058682,0.10925737,7.53,36.766041800000004,NA,1.1576733,23.3,51.3
6517,PROF0004,293113,-101.78322,38.46796,49,75,0.6056,1.38542945,1.49945497,NA,0.64854061,22.2740582,28.7866723,0.08891283,7.85,20.2399264,NA,0.956282,22.2,49
