"lab_proj_name","Project_Focus","fiscal_year","County","State","Pedon","user_pedon_id","taxon_name","taxonomic_order","taxonomic_suborder","taxonomic_great_group","Lat_Site","Long_Site","Lat_County_Centroid","Long_County_Centroid","Layer","horizon_designation","horz_desgn_master","Top_depth_cm","Bottom_depth_cm","smp_id","scan_path_name","rep_id","pH, 1:1 Soil-Water Suspension","Clay","Carbon, Total","Nitrogen, Total","Bulk Density, <2mm Fraction, Ovendry","Bulk Density, <2mm Fraction, 1/3 Bar","Calcium, NH4OAc Extractable, 2M KCl displacement","Potassium, NH4OAc Extractable, 2M KCl displacement","CEC, NH4OAc, pH 7.0, 2M KCl displacement","Phosphorus, Mehlich3 Extractable","Phosphorus, Olsen Extractable","Estimated Organic Carbon","Silt, Total","Sand, Total"
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS01.0",1,6.65,NA,2.08462078,0.233121111,NA,NA,NA,NA,NA,NA,NA,2.08,54.7,7.5
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS04.0",1,NA,37.7537524,NA,NA,NA,1.36395062,NA,NA,NA,NA,NA,NA,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS03.0",1,NA,NA,NA,NA,1.67300396,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS02.0",2,6.65,37.7537524,2.08462078,0.233121111,NA,NA,NA,NA,NA,NA,NA,NA,54.7,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS04.0",2,NA,NA,NA,NA,1.67300396,NA,NA,NA,NA,NA,NA,2.08,NA,7.5
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS03.0",2,NA,NA,NA,NA,NA,1.36395062,NA,NA,NA,NA,NA,NA,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS03.0",3,6.65,37.7537524,2.08462078,0.233121111,NA,NA,NA,NA,NA,NA,NA,2.08,54.7,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS02.0",3,NA,NA,NA,NA,1.67300396,1.36395062,NA,NA,NA,NA,NA,NA,NA,7.5
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS04.0",4,6.65,NA,2.08462078,0.233121111,NA,NA,NA,NA,NA,NA,NA,NA,54.7,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS01.0",4,NA,37.7537524,NA,NA,1.67300396,1.36395062,NA,NA,NA,NA,NA,NA,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS02.0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01123","A1","A",0,10,25783,"25783XS03.0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01124","A2","A",10,25,25784,"25784XS03.0",1,NA,NA,NA,0.162376802,1.77056331,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01124","A2","A",10,25,25784,"25784XS04.0",1,6.95,36.8570045,NA,NA,NA,1.43552692,NA,NA,NA,NA,NA,NA,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01124","A2","A",10,25,25784,"25784XS01.0",1,NA,NA,1.64341871,NA,NA,NA,NA,NA,NA,NA,NA,1.64,56.4,6.7
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01124","A2","A",10,25,25784,"25784XS02.0",2,NA,36.8570045,1.64341871,0.162376802,1.77056331,NA,NA,NA,NA,NA,NA,NA,56.4,6.7
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01124","A2","A",10,25,25784,"25784XS03.0",2,6.95,NA,NA,NA,NA,1.43552692,NA,NA,NA,NA,NA,NA,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01124","A2","A",10,25,25784,"25784XS04.0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01124","A2","A",10,25,25784,"25784XS01.0",3,6.95,NA,NA,NA,1.77056331,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C2001USKS036","Leavenworth County",2001,"Leavenworth","Kansas","01N0167","S00KS-103-001","Martin","mollisols","udolls","argiudolls",39.3534584,-94.943222,39.18684,-94.981775,"01N01124","A2","A",10,25,25784,"25784XS02.0",3,NA,NA,NA,NA,NA,1.43552692,NA,NA,NA,NA,NA,1.64,NA,NA
