property_phys_chem_id;procedure_phys_chem_id;unit_of_measure_id;value_min;value_max;definition;common_input_units;conversion_factors;notes
Acidity - exchangeable;ExchAcid_ph0-kcl1m;cmol/kg;0;100;Exch acidity (H+Al) unbuffered, in 1 M KCl extract;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
Acidity - exchangeable;ExchAcid_ph0-nh4cl;cmol/kg;0;100;Exch acidity (H+Al) unbuffered, in 0.05-0.1 M NH4Cl extract;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
Acidity - exchangeable;ExchAcid_ph0-unkn;cmol/kg;0;100;Exch acidity (H+Al) unbuffered, in unknown extract;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
Acidity - exchangeable;ExchAcid_ph7-caoac;cmol/kg;0;100;Exch acidity (H+Al) buffered at pH 7, in 1M Ca-acetate extract;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
Acidity - exchangeable;ExchAcid_ph7-unkn;cmol/kg;0;100;Exch acidity (H+Al) buffered at pH 7, in unknown extract;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
Acidity - exchangeable;ExchAcid_ph8-bacl2tea;cmol/kg;0;100;Exch (extractable / potential) acidity (Al) buffered at pH 8.0-8.5, in 1 M BaCl2 - TEA;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
Acidity - exchangeable;ExchAcid_ph8-unkn;cmol/kg;0;100;Exch (extractable / potential) acidity (Al) buffered at pH 8.0-8.5, in unknown extract;"cmol/kg;meq/100g;mmol/kg";"1;1;10";cmol/kg = meq/100g
Aluminium (Al+++) - exchangeable;ExchBases_ph-unkn-edta;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unknown buffer, in EDTA solution;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - exchangeable;ExchBases_ph-unkn-m3;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unknown buffer, in Mehlich3 solution with extractable ppm assumed exchangeable cmolc/kg;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
Aluminium (Al+++) - exchangeable;ExchBases_ph-unkn-m3-spec;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) spectrally measured and converted to, unknown buffer, in Mehlich3 solution with extractable ppm assumed exchangeable cmolc/kg;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.0037";"cmol/kg = meq/100g; 1 cmol/kg Al = 270 mg/kg"
