ProfID,lon,lat,top,bottom,Clay,Silt,Sand,SOC,pH
PROF0003,39.069884,-101.9787342,0,30,20.4629672,55.9,23.6,1.5744,8.13
PROF0004,38.46796,-101.78322,0,30,22.8316904,57.9,19.3,1.352,6.12
PROF0005,38.4703,-101.78132,0,30,26.4101586,58.4,15.2,1.51,7.25
PROF0006,38.47096,-101.77872,0,30,19.7954184,54.9,25.3,1.65,6.75
PROF0007,38.5798,-101.74667,0,30,25.5185567,54.2,20.3,1.6972,7.21
PROF0008,39.2791672,-101.7258606,0,30,32.3523316,57.7,9.9,1.4412,7.84
PROF0009,38.7700958,-101.6745758,0,30,33.4874,57.5,8.7,1.6008,7.23
PROF0010,38.7700768,-101.6739349,0,30,26.4536352,63,10.5,1.66,6.2
PROF0011,38.7696991,-101.6737595,0,30,34.2075943,56.5,9.3,1,6.6
PROF0012,38.8320833,-101.6669998,0,30,35.036606,59.2,5.8,2.5156,7.72
PROF0013,38.508278,-101.535978,0,30,26.2398523,58.3,15.2,1.4524,8.29
PROF0014,38.507851,-101.5340286,0,30,24.7548032,58.2,15.5,1.1852,8.28
PROF0015,38.504859,-101.5332556,0,30,27.7807481,53.4,18.8,1.1572,8.29
PROF0016,38.220871,-101.477627,0,30,14.4183409,26.1,59.5,0.456,8.22
PROF0017,38.220703,-101.474492,0,30,24.2326041,52.5,23.3,1.31,8.07
PROF0018,38.221674,-101.4703215,0,30,25.8478867,57.8,16.4,0.97,8
PROF0019,38.5747139,-101.4447028,0,30,24.3214475,56.4,19.3,1.3416,7.85
PROF0020,37.7141528,-101.416975,0,30,49.9196807,44.5,5.6,1.4832,8.32
PROF0021,37.3518611,-101.3554722,0,30,26.9051627,47.3,26.3,0.9188,8.02
PROF0022,38.448401,-101.2533267,0,30,30.8445098,36.6,32.6,1.17,7.28
PROF0023,38.447367,-101.250361,0,30,28.2589532,29.8,41.9,0.5832,8.17
PROF0024,38.039666,-101.1744824,0,30,22.4086954,35.3,42.3,1.4052,7.65
PROF0025,37.2981682,-101.1740799,0,30,30.2332495,51.6,19.5,0.76,7.21
PROF0026,38.039611,-101.1681571,0,30,13.9296331,16.4,69.2,1.042,8.04
PROF0027,38.046236,-101.1651392,0,30,16.7559531,22.2,61,0.6332,8.2
PROF0028,37.3143044,-101.1127472,0,30,26.5813953,51.5,21.2,0.9,6.72
PROF0029,39.2736111,-101.1120556,0,30,22.2242356,59.7,17.7,1.3164,7.55
PROF0030,38.4798889,-100.9438629,0,30,31.4859098,57.9,10.6,1.3,6.69
PROF0032,38.2407778,-100.9100833,0,30,34.1386151,44.4,21.5,0.7968,7.97
PROF0033,38.0912819,-100.8617935,0,30,26.4278604,39.2,34.4,0.7256,8.28
PROF0034,38.7571106,-100.8413086,0,30,21.5681467,64.6,13.8,1.7092,7.8
PROF0035,38.0056534,-100.8412704,0,30,34.8525225,46.3,18.8,1.046,8.22
PROF0036,38.355999,-100.8011703,0,30,23.0284267,52.3,24.7,0.74,6.9
PROF0037,38.6030273,-100.7999725,0,30,31.5241111,66.4,2.1,0.6456,7.81
PROF0038,38.3349167,-100.7867778,0,30,24.003342,46.4,29.6,1.1156,7.54
PROF0039,38.3838611,-100.7761678,0,30,18.1820679,27.4,54.4,0.3932,7.13
PROF0040,38.6904444,-100.7664722,0,30,22.8058689,53.5,23.7,1.7008,7.98
PROF0041,38.992232,-100.730256,0,30,26.2965992,54.5,19.2,1.3856,7.82
PROF0042,38.992294,-100.73017,0,30,27.9594697,53.4,20.7,1.6224,6.93
PROF0043,38.992252,-100.73005,0,30,22.5201039,52.4,25.1,1.2396,7.72
PROF0044,38.3119659,-100.6753769,0,30,33.6052221,51.5,14.9,1.1984,7.93
PROF0045,37.6941083,-100.6701833,0,30,27.1669452,51.3,21.5,1.39,6.43
PROF0047,38.3121643,-100.6474838,0,30,45.5301704,45.7,8.8,1.614,7.84
PROF0048,37.0840546,-100.6030832,0,30,2.9122128,4.6,92.5,0.2,6.6
PROF0049,39.0628722,-100.5982111,0,30,32.5450484,57.6,9.9,0.8808,7.35
PROF0050,37.0797611,-100.5921694,0,30,11.25,9.2,79.5,0.18,6.79
PROF0051,37.0940367,-100.5671294,0,30,12.224343,7.7,80.1,0.26,6.98
