"rowID","ProfID","HorID","lon","lat","top","bottom","SOC","Carbon_Total","Bulk.Density_1_3.BAR","Bulk.Density_ovendry","Sand","Silt","Clay","pH","CEC","Nitrogen_Total","Phosphorus_Mehlich3","Phosphorus_Olsen","Potassium","Calcium_Carbonate_equivalent"
257,"PROF0003_1",105890,-101.9787342,39.069884,0,12,2.4428,2.78294815,1.28675073,1.42480215,18.1,58,23.9304537,7.91,22.2745284,0.280058144,NA,6.6458686,1.550366,2.812883
261,"PROF0003_1",105891,-101.9787342,39.069884,12,26,1.5744,1.98054005,1.30175847,1.40428747,23.6,55.9,20.4629672,8.13,18.7160804,0.200221349,NA,1.9305032,1.2136563,3.382309
265,"PROF0003_1",105892,-101.9787342,39.069884,26,43,1.1592,1.65147803,1.33168711,1.3932773,41.1,43.2,15.7211355,8.19,14.3381376,0.175187806,NA,3.2242211,1.118269,4.090328
269,"PROF0003_1",105893,-101.9787342,39.069884,43,65,0.5968,1.5388704,1.39700094,1.46859262,37.6,44.4,18.0134009,8.55,13.440374,0.062539037,NA,NA,1.4046655,7.861998
273,"PROF0003_1",105894,-101.9787342,39.069884,65,92,0.6496,2.47061909,1.18704119,1.29030636,29.7,47.8,22.4567614,8.92,16.0613232,0.064064569,NA,NA,1.2823558,15.165409
277,"PROF0003_1",105895,-101.9787342,39.069884,92,120,0.464,1.7017388,1.20071477,1.31303478,28.2,52.3,19.4792132,8.67,16.3215865,0.046439203,NA,NA,0.5930686,10.303441
281,"PROF0003_1",105896,-101.9787342,39.069884,120,135,0.074,0.14202204,NA,NA,87.5,8.3,4.1773211,8.6,4.0011559,NA,NA,NA,NA,0.549508
285,"PROF0003_1",105897,-101.9787342,39.069884,135,171,0.194,0.8274709,NA,NA,38,46.1,15.9261219,8.4,12.7582129,0.0707503,NA,NA,0.4783477,5.299389
6505,"PROF0004_1",293110,-101.78322,38.46796,0,13,1.62,1.6201832,NA,NA,14.9,63.4,21.7089387,4.7,17.4466021,0.16511422,204.527546,NA,2.6347593,NA
6509,"PROF0004_1",293111,-101.78322,38.46796,13,25,1.352,1.36624093,1.28597635,1.38060836,19.3,57.9,22.8316904,6.12,18.347788,0.14490434,91.3814704,NA,1.8657396,NA
6513,"PROF0004_1",293112,-101.78322,38.46796,25,49,0.872,0.89486989,1.30522841,1.42364793,23.3,51.3,25.4058682,7.53,20.607601,0.10925737,36.7660418,NA,1.1576733,NA
6517,"PROF0004_1",293113,-101.78322,38.46796,49,75,0.6056,0.64854061,1.38542945,1.49945497,22.2,49,28.7866723,7.85,22.2740582,0.08891283,20.2399264,NA,0.956282,NA
6521,"PROF0004_1",293114,-101.78322,38.46796,75,113,0.3696,1.38080336,1.42096261,1.55535595,17.3,51.9,30.7500316,8.21,20.4498594,0.07322442,50.3873295,NA,1.5620916,8.418237
6525,"PROF0004_1",293115,-101.78322,38.46796,113,150,0.2048,1.43339497,1.28539703,1.37066882,22.9,50.8,26.259421,8.3,18.4865202,0.0519346,21.8702604,NA,1.675398,10.207632
6529,"PROF0004_1",293116,-101.78322,38.46796,150,200,0.1036,1.18053801,1.32697548,1.40951222,25.5,52.6,21.8551122,8.11,18.0267871,0.04142239,17.2911102,NA,1.7617687,8.968466
6473,"PROF0005_1",293102,-101.78132,38.4703,0,12,1.8,1.79549576,NA,NA,11.9,63.5,24.6020755,6.42,20.3378799,0.16605741,73.0678381,NA,1.5753494,NA
6477,"PROF0005_1",293103,-101.78132,38.4703,12,25,1.51,1.51023292,1.21078797,1.27369901,15.2,58.4,26.4101586,7.25,21.5439028,0.15623099,41.5802926,NA,1.3952695,NA
6481,"PROF0005_1",293104,-101.78132,38.4703,25,44,1.2356,1.2519827,1.2245703,1.32957661,18.3,54.3,27.4365974,7.54,22.6466279,0.14606465,37.0144698,NA,1.232013,NA
6485,"PROF0005_1",293105,-101.78132,38.4703,44,63,0.8516,0.89498797,1.28155179,1.39293188,18.9,52.9,28.1639155,7.84,23.3309231,0.10467695,8.9590174,NA,1.1420818,NA
6489,"PROF0005_1",293106,-101.78132,38.4703,63,78,0.5672,0.58618916,1.44467878,1.54981096,19.2,52.5,28.3276027,8.01,22.7954859,0.08374131,17.4342473,NA,1.263988,NA
6493,"PROF0005_1",293107,-101.78132,38.4703,78,98,0.4568,1.19373355,NA,NA,13.3,58.3,28.4286047,8.33,21.6407621,0.05235673,38.825837,NA,1.4505653,6.10722
6497,"PROF0005_1",293108,-101.78132,38.4703,98,136,0.4928,1.8181335,1.25343139,1.35759285,10.5,62.2,27.2940133,8.31,21.287808,0.0731433,33.2807451,NA,1.3867855,11.063175
6501,"PROF0005_1",293109,-101.78132,38.4703,136,200,0.1112,1.39543451,1.22462478,1.30746749,14.6,64.3,21.1152247,8.34,20.6884292,0.04165476,12.7274965,NA,1.4109984,10.74411
6533,"PROF0006_1",293117,-101.77872,38.47096,0,20,1.65,1.64628937,NA,NA,25.3,54.9,19.7954184,6.75,15.1533362,0.16462894,29.0116177,NA,2.1207739,NA
6537,"PROF0006_1",293118,-101.77872,38.47096,20,35,0.8724,0.95653877,1.29116365,1.48130697,29.2,37.2,33.5647513,7.62,23.6845828,0.1366484,3.284292,NA,2.2778407,0.731443
6541,"PROF0006_1",293119,-101.77872,38.47096,35,51,0.52,2.08312179,1.26305156,1.36148146,19.9,52.1,27.965176,8.31,19.5127744,0.09374048,12.0020855,NA,1.4555585,12.996417
6545,"PROF0006_1",293120,-101.77872,38.47096,51,80,0.2908,1.7803545,1.25712754,1.37618638,15.7,60,24.2724586,8.45,20.0566698,0.06246858,14.8420826,NA,2.0743275,12.405085
6549,"PROF0006_1",293121,-101.77872,38.47096,80,107,0.1908,1.68147893,1.29206027,1.38477175,17.1,61.1,21.8289061,8.74,19.4916119,0.0518975,13.6808474,NA,2.5346062,12.412022
6553,"PROF0006_1",293122,-101.77872,38.47096,107,160,0.71,0.71184875,1.51914827,1.59513643,66.6,18.2,15.2201271,9.07,9.8967752,0.04067707,9.2483886,NA,1.3082799,NA
6557,"PROF0006_1",293123,-101.77872,38.47096,160,193,0.53,0.5278941,NA,NA,73.3,14.9,11.7518756,8.77,8.4149478,0.02030362,13.4835709,NA,0.9658357,NA
6561,"PROF0006_1",293124,-101.77872,38.47096,193,200,0.82,0.82491154,1.39852654,1.47965349,37,39.4,23.5970762,8.3,16.1062315,0.05155697,30.0054143,NA,1.5916481,NA
6445,"PROF0007_1",293095,-101.74667,38.5798,0,17,1.6972,1.72027641,1.24590381,1.38997829,20.3,54.2,25.5185567,7.21,22.2680382,0.19809243,30.6651989,NA,1.9581872,NA
6449,"PROF0007_1",293096,-101.74667,38.5798,17,28,0.8724,0.93294616,1.40715201,1.56175711,17.5,53.1,29.3613909,7.72,22.7592514,0.12579049,5.0863768,NA,1.7854738,NA
6453,"PROF0007_1",293097,-101.74667,38.5798,28,50,0.596,1.73303209,1.21867348,1.36910539,14.2,56.4,29.3612675,8.19,24.0642943,0.09452902,9.4849908,NA,1.1833702,9.449946
6457,"PROF0007_1",293098,-101.74667,38.5798,50,84,0.2624,1.91496622,1.26592257,1.39183243,11.8,61.9,26.3447683,8.35,22.4807821,0.08371437,9.9331191,NA,0.7888444,13.73272
6461,"PROF0007_1",293099,-101.74667,38.5798,84,131,0.204,1.32186001,1.24569054,1.29949287,14.1,67.9,18.0465372,8.45,20.8470767,0.04163339,5.787741,NA,2.1194008,9.296729
6465,"PROF0007_1",293100,-101.74667,38.5798,131,170,0.1704,1.38317085,1.22245912,1.32005485,15.6,64.1,20.2596739,8.47,20.2331404,0.03119934,8.822356,NA,2.2492741,10.084744
6469,"PROF0007_1",293101,-101.74667,38.5798,170,200,0.1072,1.32877023,1.24809878,1.33064658,18.2,59.5,22.3116498,8.4,19.4135709,0.03114305,17.3106891,NA,2.0035249,10.191354
3801,"PROF0008_1",26325,-101.7258606,39.2791672,0,14,2.142,2.18894728,NA,NA,9.9,57.7,32.3523316,7.66,NA,0.271261888,NA,NA,NA,NA
3805,"PROF0008_1",26326,-101.7258606,39.2791672,14,28,1.4412,1.4950123,NA,NA,10.5,57.7,31.7789633,7.9,NA,0.170410492,NA,NA,NA,NA
3809,"PROF0008_1",26327,-101.7258606,39.2791672,28,38,1.4088,1.43852651,NA,NA,9,56.2,34.8249304,7.84,NA,0.159486527,NA,NA,NA,NA
3813,"PROF0008_1",26328,-101.7258606,39.2791672,38,47,1.4488,1.4472669,NA,NA,7.5,59.4,33.0816009,7.69,NA,0.159293677,NA,NA,NA,NA
3817,"PROF0008_1",26329,-101.7258606,39.2791672,47,58,1.5668,1.58279742,NA,NA,4.6,54,41.3544936,7.58,NA,0.160497137,NA,NA,NA,NA
3821,"PROF0008_1",26330,-101.7258606,39.2791672,58,76,1.2356,1.21906702,NA,NA,8.4,53.3,38.3288251,7.63,NA,0.142119212,NA,NA,NA,NA
3825,"PROF0008_1",26331,-101.7258606,39.2791672,76,101,0.6464,0.65248211,NA,NA,12.2,47.5,40.3431761,7.57,NA,0.079981678,NA,NA,NA,NA
3829,"PROF0008_1",26332,-101.7258606,39.2791672,101,117,0.5252,0.52548266,NA,NA,12.5,51,36.5187656,7.66,NA,0.060955989,NA,NA,NA,NA
3833,"PROF0008_1",26333,-101.7258606,39.2791672,117,141,0.3776,0.37896203,NA,NA,12.5,58.3,29.1549715,7.71,NA,0.058623961,NA,NA,NA,NA
3837,"PROF0008_1",26334,-101.7258606,39.2791672,141,152,0.31,0.31059595,NA,NA,13.2,60.7,26.1404966,7.8,NA,0.059609323,NA,NA,NA,NA
3841,"PROF0008_1",26335,-101.7258606,39.2791672,152,190,0.2728,0.67156716,NA,NA,12.9,65.3,21.8020022,8.12,NA,0.052140307,NA,NA,NA,3.309961
3845,"PROF0008_1",26336,-101.7258606,39.2791672,190,215,0.2932,0.84595666,NA,NA,8,70,22.0151578,8.17,NA,0.040681023,NA,NA,NA,4.641258
