"ProfID","lon","lat","top","bottom","SOC_p.q50","Carbon_Total_p.q50","Bulk.Density_1_3.BAR_p.q50","Bulk.Density_ovendry_p.q50","Sand_p.q50","Silt_p.q50","Clay_p.q50","pH_p.q50","CEC_p.q50","Nitrogen_Total_p.q50","Phosphorus_Mehlich3_p.q50","Phosphorus_Olsen_p.q50","Potassium_p.q50","Calcium_Carbonate_equivalent_p.q50","SOC_CI","Carbon_Total_CI","Bulk.Density_1_3.BAR_CI","Bulk.Density_ovendry_CI","Sand_CI","Silt_CI","Clay_CI","pH_CI","CEC_CI","Nitrogen_Total_CI","Phosphorus_Mehlich3_CI","Phosphorus_Olsen_CI","Potassium_CI","Calcium_Carbonate_equivalent_CI"
"PROF0003",-101.9787342,39.069884,0,30,1.5744,1.98054005,1.30175847,1.40428747,23.6,55.9,20.4629672,8.13,18.7160804,0.200221349,NA,3.2242211,1.2136563,3.382309,"1.159-2.443","1.651-2.783","1.287-1.332","1.393-1.425","18.1-41.1","43.2-58","15.721-23.93","7.91-8.19","14.338-22.275","0.175-0.28","NA-NA","1.931-6.646","1.118-1.55","2.813-4.09"
"PROF0003",-101.9787342,39.069884,30,60,0.5968,1.5388704,1.39700094,1.46859262,37.6,44.4,18.0134009,8.55,13.440374,0.062539037,NA,3.2242211,1.4046655,7.861998,"0.597-1.159","1.539-1.651","1.332-1.397","1.393-1.469","37.6-41.1","43.2-44.4","15.721-18.013","8.19-8.55","13.44-14.338","0.063-0.175","NA-NA","3.224-3.224","1.118-1.405","4.09-7.862"
"PROF0004",-101.78322,38.46796,0,30,1.352,1.36624093,1.28597635,1.38060836,19.3,57.9,22.8316904,6.12,18.347788,0.14490434,91.3814704,NA,1.8657396,NA,"0.872-1.62","0.895-1.62","1.286-1.305","1.381-1.424","14.9-23.3","51.3-63.4","21.709-25.406","4.7-7.53","17.447-20.608","0.109-0.165","36.766-204.528","NA-NA","1.158-2.635","NA-NA"
"PROF0004",-101.78322,38.46796,30,60,0.872,0.89486989,1.30522841,1.42364793,23.3,51.3,25.4058682,7.53,20.607601,0.10925737,36.7660418,NA,1.1576733,NA,"0.606-0.872","0.649-0.895","1.305-1.385","1.424-1.499","22.2-23.3","49-51.3","25.406-28.787","7.53-7.85","20.608-22.274","0.089-0.109","20.24-36.766","NA-NA","0.956-1.158","NA-NA"
"PROF0005",-101.78132,38.4703,0,30,1.51,1.51023292,1.21078797,1.27369901,15.2,58.4,26.4101586,7.25,21.5439028,0.15623099,41.5802926,NA,1.3952695,NA,"1.236-1.8","1.252-1.795","1.211-1.225","1.274-1.33","11.9-18.3","54.3-63.5","24.602-27.437","6.42-7.54","20.338-22.647","0.146-0.166","37.014-73.068","NA-NA","1.232-1.575","NA-NA"
"PROF0005",-101.78132,38.4703,30,60,0.8516,0.89498797,1.28155179,1.39293188,18.9,52.9,28.1639155,7.84,23.3309231,0.10467695,8.9590174,NA,1.1420818,NA,"0.852-1.236","0.895-1.252","1.225-1.282","1.33-1.393","18.3-18.9","52.9-54.3","27.437-28.164","7.54-7.84","22.647-23.331","0.105-0.146","8.959-37.014","NA-NA","1.142-1.232","NA-NA"
"PROF0006",-101.77872,38.47096,0,30,1.65,1.64628937,1.29116365,1.48130697,25.3,54.9,19.7954184,6.75,15.1533362,0.16462894,29.0116177,NA,2.1207739,0.731443,"0.872-1.65","0.957-1.646","1.291-1.291","1.481-1.481","25.3-29.2","37.2-54.9","19.795-33.565","6.75-7.62","15.153-23.685","0.137-0.165","3.284-29.012","NA-NA","2.121-2.278","0.731-0.731"
"PROF0006",-101.77872,38.47096,30,60,0.52,2.08312179,1.26305156,1.36148146,19.9,52.1,27.965176,8.31,19.5127744,0.09374048,12.0020855,NA,1.4555585,12.996417,"0.291-0.872","0.957-2.083","1.257-1.291","1.361-1.481","15.7-29.2","37.2-60","24.272-33.565","7.62-8.45","19.513-23.685","0.062-0.137","3.284-14.842","NA-NA","1.456-2.278","0.731-12.996"
"PROF0007",-101.74667,38.5798,0,30,1.6972,1.72027641,1.24590381,1.38997829,20.3,54.2,25.5185567,7.21,22.2680382,0.19809243,30.6651989,NA,1.9581872,9.449946,"0.72-1.697","0.933-1.727","1.231-1.407","1.378-1.562","15.685-20.3","53.1-55.41","25.519-29.361","7.21-7.978","22.268-23.477","0.109-0.198","5.086-30.665","NA-NA","1.454-1.958","9.45-9.45"
"PROF0007",-101.74667,38.5798,30,60,0.596,1.73303209,1.21867348,1.36910539,14.2,56.4,29.3612675,8.19,24.0642943,0.09452902,9.4849908,NA,1.1833702,9.449946,"0.262-0.596","1.733-1.915","1.219-1.266","1.369-1.392","11.8-14.2","56.4-61.9","26.345-29.361","8.19-8.35","22.481-24.064","0.084-0.095","9.485-9.933","NA-NA","0.789-1.183","9.45-13.733"
"PROF0008",-101.7258606,39.2791672,0,30,1.4412,1.4950123,NA,NA,9.9,57.7,32.3523316,7.84,NA,0.170410492,NA,NA,NA,NA,"1.423-2.142","1.464-2.189","NA-NA","NA-NA","9.405-10.5","56.875-57.7","31.779-33.712","7.66-7.9","NA-NA","0.164-0.271","NA-NA","NA-NA","NA-NA","NA-NA"
"PROF0008",-101.7258606,39.2791672,30,60,1.4488,1.4472669,NA,NA,7.5,56.2,34.8249304,7.69,NA,0.159486527,NA,NA,NA,NA,"1.314-1.567","1.318-1.583","NA-NA","NA-NA","4.6-9","53.615-59.4","33.082-41.354","7.58-7.84","NA-NA","0.15-0.16","NA-NA","NA-NA","NA-NA","NA-NA"
"PROF0009",-101.6745758,38.7700958,0,30,1.6008,1.62194867,1.23658863,1.4235677,8.7,57.5,33.4874,7.23,24.3804152,0.198773242,NA,NA,1.9340805,NA,"1.107-2.8","1.134-2.798","1.227-1.238","1.414-1.563","7.4-9","53.4-62.4","28.908-39.162","6.8-7.29","23.927-27.924","0.139-0.302","NA-NA","NA-NA","1.595-2.215","NA-NA"
"PROF0009",-101.6745758,38.7700958,30,60,0.9744,1.56129706,1.23981697,1.47564654,6,56.4,37.6100579,7.99,26.7457659,0.129679255,NA,NA,2.2131672,4.879411,"0.819-1.107","1.129-1.561","1.237-1.254","1.436-1.563","6-7.4","53.4-56.675","36.547-39.162","7.29-8.16","26.746-28.076","0.107-0.139","NA-NA","NA-NA","1.934-2.579","3.777-4.879"
"PROF0010",-101.6739349,38.7700768,0,30,1.66,1.66078611,1.12744875,1.38638319,10.5,63,26.4536352,6.2,19.8658012,0.213209028,NA,NA,1.3802951,NA,"0.91-1.66","0.909-1.661","1.127-1.223","1.386-1.567","6.8-10.5","52.8-63","26.454-40.396","6.2-7.15","19.866-29.264","0.112-0.213","NA-NA","NA-NA","1.38-1.657","NA-NA"
"PROF0010",-101.6739349,38.7700768,30,60,0.9056,1.52170933,1.16531588,1.40609286,6.2,54.8,38.9879134,8.11,27.9197414,0.117530396,NA,NA,2.4397168,5.119505,"0.906-1.066","1.25-1.522","1.165-1.24","1.406-1.488","5.7-6.2","54.8-57.6","36.651-38.988","7.64-8.11","27.81-27.92","0.118-0.138","NA-NA","NA-NA","1.952-2.44","1.53-5.12"
"PROF0011",-101.6737595,38.7696991,0,30,1,1.00039007,1.17545724,1.49237364,9.3,56.5,34.2075943,6.6,23.8571631,0.126073749,NA,NA,1.5799098,NA,"0.919-1.33","0.905-1.326","1.137-1.182","1.366-1.507","7.4-9.6","56-59.9","30.518-36.587","6.31-7.05","21.419-27.064","0.09-0.186","NA-NA","NA-NA","1.396-2.535","NA-NA"
"PROF0011",-101.6737595,38.7696991,30,60,0.9192,0.90454269,1.18185237,1.50734486,7.4,56,36.5865953,7.05,27.0638637,0.090454269,NA,NA,1.3958665,2.477084,"0.919-0.952","0.905-1.253","1.122-1.182","1.351-1.507","6.4-7.4","56-56.4","36.587-37.177","7.05-7.65","27.064-27.937","0.09-0.125","NA-NA","NA-NA","1.396-1.487","2.477-2.477"
"PROF0012",-101.6669998,38.8320833,0,30,2.5156,2.94526294,1.07026351,1.33987999,5.8,59.2,35.036606,7.72,28.039878,0.272903907,NA,2.8953877,2.6380592,3.617057,"1.172-2.516","1.966-2.945","1.07-1.253","1.34-1.553","5.8-10.1","54.8-59.2","35.037-35.093","7.72-8.49","25.315-28.04","0.133-0.273","NA-NA","1.1-2.895","2.558-2.638","3.617-6.655"
"PROF0012",-101.6669998,38.8320833,30,60,0.5116,1.5357031,1.33839365,1.47414399,16.7,60.2,23.0834682,8.86,16.8240608,0.103136541,NA,1.1002044,1.789276,8.568109,"0.512-1.172","1.536-1.966","1.253-1.338","1.474-1.553","10.1-16.7","54.8-60.2","23.083-35.093","8.49-8.86","16.824-25.315","0.103-0.133","NA-NA","1.1-1.1","1.789-2.558","6.655-8.568"
"PROF0013",-101.535978,38.508278,0,30,1.4524,2.37534562,NA,NA,15.2,58.3,26.2398523,8.29,21.9641512,0.20745377,NA,NA,2.6361729,7.732772,"0.29-2.127","1.41-2.844","NA-NA","NA-NA","11.5-15.5","56.1-65.7","22.808-28.65","8.09-8.42","20.8-22.465","0.083-0.259","NA-NA","NA-NA","1.667-3.118","5.935-9.326"
"PROF0013",-101.535978,38.508278,30,60,0.2904,1.41007498,NA,NA,11.5,65.7,22.8082423,8.42,20.8002668,0.08294559,NA,NA,1.666888,9.32573,"0.29-0.29","1.41-1.41","NA-NA","NA-NA","11.5-11.5","65.7-65.7","22.808-22.808","8.42-8.42","20.8-20.8","0.083-0.083","NA-NA","NA-NA","1.667-1.667","9.326-9.326"
"PROF0014",-101.5340286,38.507851,0,30,1.1852,2.23722208,NA,NA,15.5,58.2,24.7548032,8.28,21.893515,0.15536264,NA,NA,2.463257,8.789994,"0.417-2.001","1.733-2.809","NA-NA","NA-NA","12.4-17","57.2-64.9","22.659-27.312","8.08-8.39","20.94-21.953","0.083-0.238","NA-NA","NA-NA","1.55-2.857","6.741-10.944"
"PROF0014",-101.5340286,38.507851,30,60,0.4172,1.73269574,NA,NA,12.4,64.9,22.6593409,8.39,21.893515,0.08300339,NA,NA,1.5496919,10.943563,"0.417-0.417","1.733-1.733","NA-NA","NA-NA","12.4-12.4","64.9-64.9","22.659-22.659","8.39-8.39","21.894-21.894","0.083-0.083","NA-NA","NA-NA","1.55-1.55","10.944-10.944"
"PROF0015",-101.5332556,38.504859,0,30,1.1572,1.71879723,NA,NA,18.8,53.4,27.7807481,8.29,22.0685116,0.1656672,NA,NA,2.5253599,4.693958,"1.157-2.541","1.719-2.902","NA-NA","NA-NA","16.4-18.8","53.4-57.7","25.928-27.781","8-8.29","22.069-23.624","0.166-0.28","NA-NA","NA-NA","2.525-3.684","2.992-4.694"
"PROF0015",-101.5332556,38.504859,30,60,0.3616,1.93367215,NA,NA,10.7,61.6,27.6626466,8.31,22.308215,0.09356478,NA,NA,1.308278,13.068574,"0.362-1.157","1.719-1.934","NA-NA","NA-NA","10.7-18.8","53.4-61.6","27.663-27.781","8.29-8.31","22.069-22.308","0.094-0.166","NA-NA","NA-NA","1.308-2.525","4.694-13.069"
"PROF0016",-101.477627,38.220871,0,30,0.456,1.31951844,NA,NA,59.5,26.1,14.4183409,8.22,12.4113502,0.07160178,NA,NA,0.620572,7.202682,"0.456-0.799","0.987-1.32","NA-NA","NA-NA","59.5-62.8","20.1-26.1","14.418-17.089","8.22-8.3","9.825-12.411","0.072-0.081","NA-NA","NA-NA","0.366-0.621","1.588-7.203"
"PROF0016",-101.477627,38.220871,30,60,0.2116,1.4535729,NA,NA,70.1,14.9,15.0443679,8.4,7.4394777,0.03049454,NA,NA,0.3661326,10.315477,"0.212-0.799","0.987-1.454","NA-NA","NA-NA","62.8-70.1","14.9-20.1","15.044-17.089","8.3-8.4","7.439-9.825","0.03-0.081","NA-NA","NA-NA","0.366-0.366","1.588-10.315"
"PROF0017",-101.474492,38.220703,0,30,1.31,1.5470371,NA,NA,23.3,52.5,24.2326041,8.07,19.2407154,0.13497639,NA,NA,1.633498,1.995823,"0.673-1.31","1.547-1.938","NA-NA","NA-NA","13.3-23.3","52.5-58.1","24.233-28.621","8.07-8.24","19.241-22.707","0.104-0.135","NA-NA","NA-NA","1.377-1.633","1.996-10.565"
"PROF0017",-101.474492,38.220703,30,60,0.6728,1.93773837,NA,NA,13.3,58.1,28.6205449,8.24,22.7067372,0.10417948,NA,NA,1.3771516,10.564868,"0.293-0.673","1.358-1.938","NA-NA","NA-NA","11.5-13.3","58.1-65.8","22.719-28.621","8.24-8.49","19.688-22.707","0.062-0.104","NA-NA","NA-NA","1.377-2.577","8.892-10.565"
"PROF0018",-101.4703215,38.221674,0,30,0.97,1.93258052,NA,NA,16.4,57.8,25.8478867,8,20.8653521,0.10390218,NA,NA,1.4631719,8.001024,"0.351-0.97","1.632-1.933","NA-NA","NA-NA","12.5-16.4","57.8-64.6","22.912-25.848","8-8.23","20.865-20.865","0.062-0.104","NA-NA","NA-NA","1.463-1.55","8.001-10.656"
"PROF0018",-101.4703215,38.221674,30,60,0.3508,1.63176396,NA,NA,12.5,64.6,22.9121931,8.23,20.8647234,0.06236041,NA,NA,1.5498098,10.65601,"0.27-0.351","1.347-1.632","NA-NA","NA-NA","12.5-16.1","61.7-64.6","22.199-22.912","8.23-8.37","19.45-20.865","0.041-0.062","NA-NA","NA-NA","1.55-2.203","9.004-10.656"
"PROF0019",-101.4447028,38.5747139,0,30,1.3416,1.45290851,1.29874975,1.46803739,19.3,56.4,24.3214475,7.85,21.5474061,0.13398061,39.1621807,14.5796293,2.6291728,0.913409,"0.508-2.461","1.411-2.569","1.294-1.313","1.468-1.485","15.4-21","54.9-57.4","24.114-27.194","7.58-7.88","20.601-22.705","0.058-0.194","8.369-60.951","1.387-21.17","1.408-3.012","0.566-7.848"
"PROF0019",-101.4447028,38.5747139,30,60,0.508,1.45290851,1.29361006,1.46803739,15.4,57.4,27.1935563,7.85,20.6007809,0.05832098,8.3689154,1.3874253,1.4081344,7.847521,"0.265-0.508","1.453-1.534","1.217-1.294","1.353-1.468","13-15.4","57.4-61.9","25.127-27.194","7.85-8.04","20.601-21.194","0.037-0.058","8.369-8.627","0.913-1.387","1.355-1.408","7.848-10.535"
"PROF0020",-101.416975,37.7141528,0,30,1.4832,2.4316021,1.23366765,1.53161002,5.6,44.5,49.9196807,8.32,31.6313224,0.151116515,17.4045684,3.6708768,2.2569539,7.889633,"1.483-2.17","2.432-2.505","1.234-1.247","1.53-1.532","4.6-5.6","44.5-47.5","47.92-49.92","8.1-8.32","31.631-33.236","0.151-0.238","17.405-34.074","3.671-11.046","2.257-3.197","2.834-7.89"
"PROF0020",-101.416975,37.7141528,30,60,1.212,2.04048963,1.33609119,1.64542895,9.5,40.2,50.2533237,8.17,30.4070671,0.16687234,13.0010957,2.6758728,1.6036994,6.904231,"1.212-1.212","2.04-2.04","1.336-1.336","1.645-1.645","9.5-9.5","40.2-40.2","50.253-50.253","8.17-8.17","30.407-30.407","0.167-0.167","13.001-13.001","2.676-2.676","1.604-1.604","6.904-6.904"
"PROF0021",-101.3554722,37.3518611,0,30,0.9188,1.14845469,1.40330626,1.53764273,26.3,47.3,26.9051627,8.02,19.6124208,0.07891184,NA,6.1428071,1.8864767,1.255016,"0.292-1.049","1.067-2.217","1.371-1.412","1.522-1.564","11.8-27","46.1-54.3","26.421-33.945","8.01-8.24","17.83-19.734","0.048-0.132","NA-NA","1.103-16.67","0.819-2.565","0.84-16.073"
"PROF0021",-101.3554722,37.3518611,30,60,0.228,1.92163331,1.29109201,1.42977088,8.3,59.8,31.9032685,8.26,19.5413565,0.08645806,NA,2.1511535,0.5980585,14.097916,"0.219-0.292","1.275-2.217","1.268-1.371","1.394-1.522","6.9-11.8","54.3-60","31.903-33.945","8.24-8.35","17.83-21.973","0.048-0.086","NA-NA","1.103-2.151","0.598-0.819","8.84-16.073"
"PROF0022",-101.2533267,38.448401,0,30,1.17,1.16862664,NA,NA,32.6,36.6,30.8445098,7.28,19.2649682,0.12410194,NA,NA,2.1075656,NA,"0.82-1.88","0.823-1.88","NA-NA","NA-NA","19.3-32.6","36.6-45.4","28.09-35.342","6.89-7.28","19.265-23.582","0.104-0.196","NA-NA","NA-NA","1.404-2.382","NA-NA"
"PROF0022",-101.2533267,38.448401,30,60,0.82,0.82295248,NA,NA,19.3,45.4,35.3423403,6.89,23.5816935,0.1041712,NA,NA,1.4041866,NA,"0.603-0.82","0.609-0.823","NA-NA","NA-NA","11.2-19.3","45.4-51.5","35.342-37.307","6.89-7.49","23.582-30.569","0.094-0.104","NA-NA","NA-NA","1.27-1.404","NA-NA"
"PROF0023",-101.250361,38.447367,0,30,0.5832,1.03080864,NA,NA,41.9,29.8,28.2589532,8.17,16.4521214,0.07200173,NA,NA,1.0358278,4.139663,"0.32-0.651","0.834-1.08","NA-NA","NA-NA","39.4-43.7","29.7-32.3","26.614-28.314","8.11-8.2","16.413-18.108","0.062-0.093","NA-NA","NA-NA","1.016-1.227","3.157-4.251"
